title,mean,count
3 Ninjas Kick Back (1994),1.8719298245614036,570
3 Ninjas Knuckle Up (1995),1.7303240740740742,432
3 Ninjas: High Noon On Mega Mountain (1998),1.491349480968858,578
3 Women (Three Women) (1977),3.7868852459016393,305
3-Iron (Bin-jip) (2004),4.002532928064843,987
30 Days of Night (2007),3.055078125,1280
30 Days of Night: Dark Days (2010),2.4646464646464645,99
30 Minutes or Less (2011),3.0959119496855347,318
300 (2007),3.6551125657046515,10083
3000 Miles to Graceland (2001),2.7266713091922004,1436
300: Rise of an Empire (2014),2.8413897280966767,331
35 Up (1991),4.003105590062112,322
36 Quai des OrfÃ¨vres (Department 36) (2004),3.4741379310344827,116
3:10 to Yuma (1957),3.646078431372549,510
3:10 to Yuma (2007),3.765372531418312,4456
4 Little Girls (1997),3.798045602605863,307
"4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamÃ¢ni si 2 zile) (2007)",3.8359375,768
40 Days and 40 Nights (2002),2.8112391930835736,2429
42 (2013),3.7033898305084745,236
42 Up (1998),4.069364161849711,1038
42nd Street (1933),3.645104895104895,286
47 Ronin (2013),2.9608294930875574,217
48 Hrs. (1982),3.489853896103896,3696
49 Up (2005),3.9878378378378376,370
5 Centimeters per Second (ByÃ´soku 5 senchimÃªtoru) (2007),3.799610894941634,257
50 First Dates (2004),3.3573956121726822,5652
50/50 (2011),3.8466340933767644,1842
52 Pick-Up (1986),3.132258064516129,620
54 (1998),2.792944785276074,1956
56 Up (2012),3.900900900900901,111
5x2 (2004),3.302919708029197,137
61* (2001),3.6033519553072626,179
7 Plus Seven (1970),3.9683544303797467,237
8 1/2 (8Â½) (1963),4.034126163391933,2901
8 Heads in a Duffel Bag (1997),2.5987654320987654,1215
8 Mile (2002),3.239130434782609,4807
8 Seconds (1994),3.215210355987055,618
8 Women (2002),3.3972431077694236,798
8 Â½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women) (1999),2.7765151515151514,264
84 Charing Cross Road (1987),3.807926829268293,492
88 Minutes (2008),2.921848739495798,595
8MM (1999),2.9494309363683393,3866
9 (2009),3.4460043196544277,1389
9 1/2 Weeks (Nine 1/2 Weeks) (1986),2.9337311557788945,1592
9 Songs (2004),2.8143939393939394,264
9/11 (2002),3.423841059602649,151
976-EVIL (1989),1.9318181818181819,154
99 francs (2007),3.6487179487179486,195
A Beautiful Mind (2001),3.904330631774241,20482
A Better Tomorrow (Ying hung boon sik) (1986),3.7007168458781363,279
A Bittersweet Life (Dalkomhan insaeng) (2005),3.796954314720812,197
A Boy and His Dog (1975),3.3993435448577682,457
A Bridge Too Far (1977),3.7435661764705883,1088
A Brief History of Time (1991),3.8431771894093685,491
A Bronx Tale (1993),3.812958171625701,4638
A Bug's Life (1998),3.6030217587912965,18797
A Charlie Brown Christmas (1965),3.8322717622080678,942
A Chef in Love (Shekvarebuli kulinaris ataserti retsepti) (1997),3.382142857142857,140
A Chinese Ghost Story (Sinnui yauwan) (1987),3.671875,256
A Chorus Line (1985),3.208245243128964,473
A Christmas Carol (1938),3.8465799614643545,2076
A Christmas Carol (1984),3.5754716981132075,159
A Christmas Carol (2009),3.273015873015873,315
A Christmas Carol (Scrooge) (1951),3.853641456582633,714
A Christmas Story (1983),4.0274951652232405,11893
A Cinderella Story (2004),3.085245901639344,610
A Civil Action (1998),3.32504215851602,3558
A Claymation Christmas Celebration (1987),3.5476190476190474,189
A Clockwork Orange (1971),3.991046446558478,23231
"A Cool, Dry Place (1998)",3.167741935483871,155
A Couch in New York (1996),3.196969696969697,99
A Cry in the Dark (1988),3.4477401129943503,354
A Damsel in Distress (1937),3.4160583941605838,137
A Dangerous Method (2011),3.228896103896104,308
A Day at the Races (1937),3.940628637951106,859
A Decade Under the Influence (2003),3.5836653386454183,251
A Dirty Shame (2004),2.8214285714285716,182
A Dog's Life (1918),3.603896103896104,154
A Dry White Season (1989),3.45,110
"A Duck, You Sucker (a.k.a. Fistful of Dynamite) (GiÃ¹ la testa) (1971)",3.5857988165680474,338
A Face in the Crowd (1957),4.046140939597316,596
A Family Thing (1996),3.6294058408862035,993
A Far Off Place (1993),3.4024691358024692,405
A Farewell to Arms (1932),3.547846889952153,418
A Few Good Men (1992),3.8077248378911754,14188
A Fish Called Wanda (1988),3.8497157430529727,18821
A Fistful of Dollars (Per un pugno di dollari) (1964),3.930127901468498,6333
A Fond Kiss (Ae Fond Kiss...) (2004),3.467889908256881,109
A Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead) (1991),2.2677760968229954,1322
A Funny Thing Happened on the Way to the Forum (1966),3.605769230769231,416
A Good Day to Die Hard (2013),2.5764331210191083,314
A Good Man in Africa (1994),2.58974358974359,195
A Good Woman (2004),3.324,125
A Good Year (2006),3.4323809523809525,525
A Goofy Movie (1995),3.036991584852735,2852
A Grand Day Out with Wallace and Gromit (1989),4.081195376374401,7094
A Great Day in Harlem (1994),4.001524390243903,328
A Guide to Recognizing Your Saints (2006),3.602517985611511,278
A Guy Thing (2003),2.78239608801956,409
A Hard Day's Night (1964),3.840988083416087,4028
A History of Violence (2005),3.6353620146904513,3812
A Home at the End of the World (2004),3.4510135135135136,296
A Home of Our Own (1993),3.1936936936936937,111
"A Judgement in Stone (CÃ©rÃ©monie, La) (1995)",3.5987841945288754,329
A Kid in King Arthur's Court (1995),2.6188875305623474,1636
A Knight's Tale (2001),3.2347898230088497,5424
A League of Ordinary Gentlemen (2004),2.784132841328413,271
A League of Their Own (1992),3.5,9219
A Letter to Three Wives (1949),3.7026143790849675,153
A Life Less Ordinary (1997),3.1858304297328686,1722
A Little Princess (1995),3.7590377820059797,3679
A Little Romance (1979),3.766816143497758,223
A Lot Like Love (2005),3.3880753138075312,478
A Love Song for Bobby Long (2004),3.6045673076923075,416
A Low Down Dirty Shame (1994),2.6479591836734695,686
A Man Apart (2003),2.823093220338983,472
A Man Called Horse (1970),3.308764940239044,251
A Man Escaped (Un  condamnÃ© Ã  mort s'est Ã©chappÃ© ou Le vent souffle oÃ¹ il veut) (1956),4.0,290
A Man and a Woman (Un homme et une femme) (1966),3.8487603305785125,605
A Man for All Seasons (1966),4.129847815414826,2037
A Man of No Importance (1994),3.5952380952380953,126
A Map of the World (1999),3.25,298
A Matter of Life and Death (Stairway to Heaven) (1946),3.9982758620689656,290
A Midnight Clear (1992),3.7487373737373737,396
A Midsummer Night's Dream (1935),3.2564102564102564,117
A Midsummer Night's Sex Comedy (1982),3.297169811320755,424
A Mighty Heart (2007),3.2645833333333334,240
A Mighty Wind (2003),3.6791946308724834,2980
A Million Ways to Die in the West (2014),2.857142857142857,189
A Month by the Lake (1995),3.2923387096774195,496
A Most Wanted Man (2014),3.3945578231292517,147
A Mysterylaska (1999),3.300225098480585,1777
A Night at the Opera (1935),4.044731610337972,1509
A Night at the Roxbury (1998),2.633383761976803,1983
A Night in Casablanca (1946),3.5889423076923075,208
A Night in the Life of Jimmy Reardon (1988),2.3006535947712417,153
A Night to Remember (1958),3.8390557939914163,699
A Nightmare on Elm Street (1984),3.2856,6875
A Nightmare on Elm Street (2010),2.5522727272727272,220
A Nightmare on Elm Street 2: Freddy's Revenge (1985),2.3920039005363236,2051
A Nightmare on Elm Street 3: Dream Warriors (1987),2.6506910387873384,2243
A Nightmare on Elm Street 4: The Dream Master (1988),2.3717494089834514,1692
A Nightmare on Elm Street 5: The Dream Child (1989),2.1994912790697674,1376
A Passage to India (1984),3.698581560283688,423
A Patch of Blue (1965),3.8799126637554586,229
A Perfect Candidate (1996),3.6125,200
A Perfect Getaway (2009),3.154008438818565,237
A Perfect Murder (1998),3.332248828735034,3842
A Perfect World (1993),3.5077654516640253,3155
A Place in the Sun (1951),3.9212707182320443,724
A Prairie Home Companion (2006),3.3045007032348805,711
A Price Above Rubies (1998),3.3596491228070176,228
A Prophet (Un ProphÃ¨te) (2009),3.9475,1000
A Pyromaniac's Love Story (1995),2.8028322440087146,459
A Raisin in the Sun (1961),3.8744047619047617,840
A River Runs Through It (1992),3.695475292716809,5039
A Room with a View (1986),3.9600567044696464,5996
"A Royal Affair (Kongelig affÃ¦re, En) (2012)",3.7838983050847457,118
A Scanner Darkly (2006),3.6270297699594045,2956
A Separation (Jodaeiye Nader az Simin) (2011),3.9705357142857145,560
A Serbian Film (Srpski film) (2010),2.931654676258993,139
A Serious Man (2009),3.575281803542673,1242
A Short Film About Killing (KrÃ³tki film o zabijaniu) (1988),4.041313559322034,472
A Short Film About Love (KrÃ³tki film o milosci) (1988),4.025114155251141,219
A Shot in the Dark (1964),3.8673851921274602,1067
A Simple Plan (1998),3.732441200324412,6165
A Simple Twist of Fate (1994),3.270661157024793,726
A Simple Wish (1997),2.713389121338912,239
"A Single Girl (Fille seule, La) (1995)",3.373456790123457,162
A Single Man (2009),3.8355501813784763,827
A Smile Like Yours (1997),2.3424657534246576,146
A Soldier's Daughter Never Cries (1998),3.474063400576369,347
A Soldier's Story (1984),3.786527514231499,1054
A Sound of Thunder (2005),2.2817460317460316,252
A Star Is Born (1937),3.5205314009661834,414
A Star Is Born (1954),3.6785714285714284,168
A Stranger Among Us (1992),2.8411214953271027,107
A Streetcar Named Desire (1951),4.03020251396648,5728
"A Tale of Ham and Passion (JamÃ³n, JamÃ³n) (1992)",3.4622641509433962,159
A Tale of Two Cities (1935),3.7901785714285716,224
"A Tale of Two Sisters (Janghwa, Hongryeon) (2003)",3.6175,600
A Thin Line Between Love and Hate (1996),2.7992351816443595,523
A Thousand Acres (1997),2.962529274004684,427
A Time to Kill (1996),3.66460764127202,8742
A Touch of Class (1973),3.3603603603603602,111
A Town Called Panic (Panique au village) (2009),3.786363636363636,110
"A Trip to the Moon (Voyage dans la lune, Le) (1902)",3.752,250
A Troll in Central Park (1994),2.3801652892561984,121
A Very Brady Sequel (1996),2.5996007984031935,2505
A Very Harold & Kumar 3D Christmas (2011),2.9554140127388533,157
A Very Long Engagement (Un long dimanche de fianÃ§ailles) (2004),3.835070349140177,1919
A View from the Top (2003),2.7231638418079096,531
A View to a Kill (1985),3.164859981933153,3321
A Walk in the Clouds (1995),3.3523848684210527,4864
A Walk in the Sun (1945),3.5245901639344264,122
A Walk on the Moon (1999),3.6325549450549453,728
A Walk to Remember (2002),3.3265167007498295,1467
A Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale) (1994),2.9472624798711755,2484
"A Woman Is a Woman (femme est une femme, Une) (1961)",3.7072538860103625,193
A Woman Under the Influence (1974),3.9309210526315788,304
A Zed & Two Noughts (1985),3.5753205128205128,312
A.I. Artificial Intelligence (2001),3.2080078125,10752
AVP: Alien vs. Predator (2004),2.630215625875105,3571
AVPR: Aliens vs. Predator - Requiem (2007),2.384831460674157,1068
Abandon (2002),2.599644128113879,281
Abbott and Costello Meet Frankenstein (1948),3.406599552572707,894
Abbott and Costello Meet the Mummy (1955),3.0942622950819674,366
Abduction (2011),2.8555555555555556,135
Aberdeen (2000),3.536764705882353,136
About Adam (2000),3.1524163568773234,269
About Last Night... (1986),3.078449053201082,2218
About Schmidt (2002),3.467935097546842,5177
About Time (2013),3.919970631424376,681
About a Boy (2002),3.69253195783808,8918
Above the Law (1988),2.7918032786885245,610
Above the Rim (1994),2.9938423645320196,406
Abraham Lincoln: Vampire Hunter (2012),2.8518518518518516,351
Absence of Malice (1981),3.6036682615629982,627
Absolute Beginners (1986),2.7757009345794392,107
Absolute Power (1997),3.3224215246636772,3345
Accepted (2006),3.264065335753176,1102
Ace Ventura: Pet Detective (1994),2.9795264104216845,29477
Ace Ventura: When Nature Calls (1995),2.5831951512379208,17489
Aces: Iron Eagle III (1992),1.6564285714285714,700
Across the Universe (2007),3.6494140625,1536
Act of Valor (2012),3.466666666666667,180
Action Jackson (1988),2.2589880159786953,751
Adam (2009),3.701183431952663,338
Adam's Apples (Adams Ã¦bler) (2005),3.9326923076923075,520
Adam's Rib (1949),3.888831437435367,967
Adaptation (2002),3.839584951725669,9011
Addams Family Reunion (1998),2.9,205
Addams Family Values (1993),2.9740867500174617,14317
Addicted to Love (1997),3.093734460467429,2011
Admission (2013),2.7962962962962963,108
Adrenalin: Fear the Rush (1996),2.1603053435114505,131
Adventureland (2009),3.4660056657223794,1412
Adventures in Babysitting (1987),3.2251481988144093,4386
Advise and Consent (1962),3.804469273743017,179
Aeon Flux (2005),2.8981439565414213,2209
Affliction (1997),3.585714285714286,1540
Africa: The Serengeti (1994),3.837696335078534,191
Afro Samurai: Resurrection (2009),3.335195530726257,179
"After Dark, My Sweet (1990)",3.5352941176470587,170
After Earth (2013),2.4232209737827715,267
After Hours (1985),3.851669195751138,1318
After Life (Wandafuru raifu) (1998),3.9717241379310346,725
After the Sunset (2004),3.121903520208605,767
After the Thin Man (1936),3.8980891719745223,471
After the Wedding (Efter brylluppet) (2006),3.7657142857142856,350
After.Life (2009),2.8588709677419355,124
Afterglow (1997),3.2581888246628132,519
Against All Odds (1984),2.9739368998628257,729
Against the Ropes (2004),2.5255474452554743,137
Agatha Christie's 'Ten Little Indians' (Ten Little Indians) (And Then There Were None) (1965),3.5902777777777777,216
Agent Cody Banks (2003),2.4308641975308642,810
Agent Cody Banks 2: Destination London (2004),2.1546546546546548,333
Agnes Browne (1999),3.1654411764705883,136
Agnes of God (1985),3.359302325581395,1290
Agora (2009),3.5095057034220534,263
"Aguirre: The Wrath of God (Aguirre, der Zorn Gottes) (1972)",3.9713375796178343,1256
Aileen: Life and Death of a Serial Killer (2003),3.437743190661479,257
AimÃ©e & Jaguar (1999),3.618279569892473,279
Air America (1990),2.756394260761073,1603
Air Bud (1997),2.3153543307086615,1270
Air Bud: Golden Receiver (1998),1.9558383233532934,668
Air Force One (1997),3.2827687223015096,13313
Airheads (1994),2.787761355443403,5548
Airplane II: The Sequel (1982),3.025464731347084,3927
Airplane! (1980),3.798777367074211,17585
Airport '77 (1977),2.4130067567567566,592
Airport (1970),3.0426997245179064,1452
Airport 1975 (1974),2.507188498402556,626
Akeelah and the Bee (2006),3.6904466501240694,806
Akira (1988),3.8565671829744366,7941
Akira Kurosawa's Dreams (Dreams) (1990),3.8872699386503067,652
Aladdin (1992),3.678655606232208,32669
Aladdin and the King of Thieves (1996),3.048010222709018,2739
Alan Partridge: Alpha Papa (2013),3.4875,120
Alaska (1996),3.179136690647482,695
Albino Alligator (1996),3.0147255689424366,747
Alex and Emma (2003),2.6530249110320283,562
Alexander (2004),2.563092417061611,1688
Alexander Nevsky (Aleksandr Nevskiy) (1938),3.704198473282443,262
Alfie (1966),3.602305475504323,694
Alfie (2004),2.932921027592769,1051
Algiers (1938),3.3893129770992365,131
Ali (2001),3.1625945317044795,1719
Ali G Indahouse (2002),2.9485645933014353,418
Ali: Fear Eats the Soul (Angst essen Seele auf) (1974),3.9385382059800667,301
Alice (1990),3.4058171745152355,361
Alice (2009),3.5636363636363635,110
Alice (Neco z Alenky) (1988),3.5454545454545454,110
Alice Adams (1935),3.5,100
Alice Doesn't Live Here Anymore (1974),3.690693430656934,548
Alice in Wonderland (1951),3.631775573970928,7361
Alice in Wonderland (2010),3.2347050254916243,2746
Alice's Restaurant (1969),3.1984126984126986,126
"Alice, Sweet Alice (a.k.a. Communion) (a.k.a. Holy Terror) (1976)",2.8516129032258064,155
Alien (1979),4.038393964448119,29028
Alien Escape (1995),2.4537037037037037,108
Alien Nation (1988),3.1515687140963324,2263
Alien: Resurrection (1997),3.003076617705439,10076
Aliens (1986),4.001440361258175,25688
Aliens in the Attic (2009),2.671171171171171,111
AlienÂ³ (a.k.a. Alien 3) (1992),3.0929507931369375,12356
Alive (1993),3.42230382682644,2587
All About Eve (1950),4.199733392579427,4501
All About Lily Chou-Chou (Riri Shushu no subete) (2001),3.47008547008547,117
All About My Mother (Todo sobre mi madre) (1999),4.010696517412935,4020
All About Steve (2009),2.6040723981900453,221
All About the Benjamins (2002),2.5618556701030926,194
All Dogs Go to Heaven (1989),2.9717428817946505,2318
All Dogs Go to Heaven 2 (1996),2.6135005973715653,1674
All Good Things (2010),3.048076923076923,156
All Is Lost (2013),3.4973821989528795,191
All Over Me (1997),3.443502824858757,177
All Over the Guy (2001),3.4575757575757575,165
All Quiet on the Western Front (1930),3.951507742461288,2454
All That Heaven Allows (1955),3.8350515463917527,291
All That Jazz (1979),3.7551963048498846,2165
All Things Fair (Lust och fÃ¤gring stor) (1995),3.4093959731543624,149
All of Me (1984),3.5831521739130436,920
All or Nothing (2002),3.6543624161073827,298
All the Boys Love Mandy Lane (2006),2.834710743801653,121
All the King's Men (1949),3.919391206313416,887
All the King's Men (2006),3.115523465703971,277
All the Mornings of the World (Tous les matins du monde) (1991),3.6951219512195124,123
All the President's Men (1976),4.034564958283671,4195
All the Pretty Horses (2000),2.8655030800821355,974
All the Real Girls (2003),3.57010582010582,378
All the Right Moves (1983),3.105726872246696,454
All the Vermeers in New York (1990),3.0450819672131146,122
Allan Quatermain and the Lost City of Gold (1987),2.2082884822389666,929
Allegro non troppo (1977),3.6923076923076925,156
Alligator (1980),2.3226666666666667,750
Almost Famous (2000),3.8487803423391185,16767
Almost Heroes (1998),2.6181988742964353,533
Alone in the Dark (2005),1.4978401727861772,463
Alone in the Wilderness (2004),3.947513812154696,181
Along Came Polly (2004),2.952973977695167,2690
Along Came a Spider (2001),3.2206439393939394,2640
Alpha Dog (2007),3.2855093256814922,697
"Alphaville (Alphaville, une Ã©trange aventure de Lemmy Caution) (1965)",3.542056074766355,1070
Altered States (1980),3.466009517335146,1471
Alvarez Kelly (1966),3.0,92
Alvin and the Chipmunks (2007),2.501736111111111,576
Alvin and the Chipmunks: The Squeakquel (2009),2.134259259259259,216
Always (1989),3.279733587059943,1051
Amadeus (1984),4.077574490329326,19130
Amarcord (1973),3.8367029548989113,643
Amateur (1994),3.6885245901639343,1037
Amazing Grace (2006),3.774678111587983,466
Amazing Grace and Chuck (1987),3.1024590163934427,122
Amazon Women on the Moon (1987),3.3210526315789473,855
Ambush (RukajÃ¤rven tie) (1999),3.191666666666667,300
Amelia (2009),2.7851239669421486,121
"Amelie (Fabuleux destin d'AmÃ©lie Poulain, Le) (2001)",4.187317234223187,21202
Amen. (2002),3.692513368983957,187
America's Sweethearts (2001),2.8346297896859696,3471
American Beauty (1999),4.147516927116855,38843
American Buffalo (1996),3.124521072796935,522
American Dream (1990),3.8691275167785233,298
American Dreamz (2006),2.75802752293578,436
American Flyers (1985),3.3256997455470736,393
American Gangster (2007),3.8178326759393815,4817
American Gigolo (1980),3.046721929163527,1327
American Graffiti (1973),3.825302963936341,6849
American History X (1998),4.140302811824081,20805
American Hustle (2013),3.6641725352112675,1136
American Me (1992),3.4306930693069306,202
American Movie (1999),3.9117195496417603,1954
American Ninja (1985),2.340909090909091,550
American Ninja 2: The Confrontation (1987),2.0154440154440154,259
American Ninja 3: Blood Hunt (1989),1.9435028248587571,177
American Outlaws (2001),2.8179611650485437,412
American Pie (1999),3.30503854107915,21276
American Pie 2 (2001),2.9561448568126365,7787
American Pie Presents Beta House (American Pie 6: Beta House) (2007),2.4726277372262775,274
American Pie Presents The Naked Mile (American Pie 5: The Naked Mile) (2006),2.4366319444444446,576
American Pie Presents: Band Camp (American Pie 4: Band Camp) (2005),2.4361430395913155,783
American Pie Presents: The Book of Love (American Pie 7: The Book of Love) (2009),2.211267605633803,213
American Pimp (1999),3.374005305039788,377
American Pop (1981),3.103448275862069,377
American Psycho (2000),3.5051409217370266,8267
American Psycho II: All American Girl (2002),2.0569105691056913,123
American Reunion (American Pie 4) (2012),3.151685393258427,267
American Sniper (2014),3.493723849372385,239
American Splendor (2003),3.8069708846584547,3572
American Teen (2008),3.3515625,128
American Wedding (American Pie 3) (2003),2.9351691240242843,2306
American: The Bill Hicks Story (2009),3.7526315789473683,190
Amistad (1997),3.5775941230486685,4356
Amityville 1992: It's About Time (1992),1.669776119402985,268
Amityville 3-D (1983),1.5855745721271393,409
Amityville II: The Possession (1982),1.972663139329806,567
Amityville: A New Generation (1993),1.6627450980392158,255
Amityville: Dollhouse (1996),1.7300884955752212,226
Amores Perros (Love's a Bitch) (2000),4.01522696801379,5221
Amos & Andrew (1993),2.7817294281729428,717
Amour (2012),3.7058823529411766,272
Amy's O (a.k.a. Amy's Orgasm) (2001),2.682170542635659,129
"An Affair of Love (Liaison pornographique, Une) (1999)",3.6565217391304348,345
An Affair to Remember (1957),3.8137793310034946,2003
An Alan Smithee Film: Burn Hollywood Burn (1997),1.9462025316455696,158
An American Crime (2007),3.6693121693121693,189
An American Haunting (2005),2.522267206477733,247
An American Rhapsody (2001),3.5508982035928143,167
An American Tail (1986),3.3374911743939752,4249
An American Tail: Fievel Goes West (1991),2.9801260300533206,2063
An American Werewolf in London (1981),3.5807371654234315,6837
An American Werewolf in Paris (1997),2.6450924608819344,2109
An American in Paris (1951),3.8100481761871987,2906
"An Andalusian Dog (Chien andalou, Un) (1929)",3.848,625
An Angel at My Table (1990),3.7032085561497325,187
An Autumn Tale (Conte d'automne) (1998),3.719279661016949,472
An Awfully Big Adventure (1995),2.8636363636363638,341
An Education (2009),3.7376425855513307,1052
An Evening with Kevin Smith (2002),3.7517985611510793,278
An Evening with Kevin Smith 2: Evening Harder (2006),3.646198830409357,171
An Extremely Goofy Movie (2000),2.9714285714285715,105
An Ideal Husband (1999),3.7420856610800746,2685
An Inconvenient Truth (2006),3.6929858934169277,2552
An Innocent Man (1989),3.0826771653543306,127
An Officer and a Gentleman (1982),3.5071646341463416,3280
An Unfinished Life (2005),3.5866141732283463,381
An Unforgettable Summer (Un Ã©tÃ© inoubliable) (1994),3.454022988505747,87
Anaconda (1997),2.0583686245626955,5431
Anacondas: The Hunt for the Blood Orchid (2004),1.8541666666666667,552
Analyze That (2002),2.738372093023256,1720
Analyze This (1999),3.224727838258165,8359
Anastasia (1956),3.5725806451612905,248
Anastasia (1997),3.3885972586759987,3429
Anatomy (Anatomie) (2000),2.9629032258064516,310
Anatomy of a Murder (1959),4.059290953545232,1636
Anchorman 2: The Legend Continues (2013),3.056060606060606,330
Anchorman: The Legend of Ron Burgundy (2004),3.4749206978588423,5044
Anchors Aweigh (1945),3.5784114052953155,491
And God Created Woman (1988),2.3292682926829267,205
And God Created Woman (Et Dieu... crÃ©a la femme) (1956),3.160377358490566,159
And Then There Were None (1945),3.88,725
And Your Mother Too (Y tu mamÃ¡ tambiÃ©n) (2001),3.902907470288625,4712
And the Band Played On (1993),3.795722713864307,1356
And the Ship Sails On (E la nave va) (1983),3.4885714285714284,175
Andre (1994),2.8113522537562603,599
Andrei Rublev (Andrey Rublyov) (1969),4.0804387568555756,547
Angel Baby (1995),3.4087837837837838,296
Angel Eyes (2001),2.6860335195530727,895
Angel Heart (1987),3.5724442736356647,2602
Angel and the Badman (1947),3.414156626506024,332
Angel on My Shoulder (1946),3.464968152866242,157
Angel-A (2005),3.4919678714859437,249
Angela's Ashes (1999),3.490566037735849,1378
Angels & Demons (2009),3.244358669833729,1684
Angels and Insects (1995),3.5137103684661524,2334
Angels in America (2003),3.8497757847533634,446
Angels in the Outfield (1994),2.8196923076923075,3250
Angels with Dirty Faces (1938),3.765909090909091,440
Anger Management (2003),2.9464107676969093,4012
Angus (1995),3.2672772689425478,1201
"Angus, Thongs and Perfect Snogging (2008)",3.2476190476190476,105
Animal Crackers (1930),3.9245283018867925,901
Animal Factory (2000),3.3757225433526012,173
Animal Farm (1954),3.575,260
Animal House (1978),3.825293227393114,10572
Animal Kingdom (2010),3.6939461883408073,446
Anna Karenina (1935),3.5285714285714285,140
Anna Karenina (1997),3.1706484641638224,293
Anna Karenina (2012),3.2916666666666665,180
Anna and the King (1999),3.3787728026534,3015
Annapolis (2006),2.9902912621359223,206
Anne Frank Remembered (1995),3.8877952755905514,762
Anne of Green Gables (1985),3.9461009174311927,436
Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987),3.8666666666666667,165
Anne of the Thousand Days (1969),3.788732394366197,284
Annie (1982),3.1909881061299177,2186
Annie Hall (1977),4.088194846554719,13816
Anonymous (2011),3.3248175182481754,137
Another 48 Hrs. (1990),2.7340513670256836,1207
Another Day in Paradise (1998),3.2044117647058825,340
Another Earth (2011),3.538860103626943,386
Another Stakeout (1993),2.815722469764481,3142
Another Thin Man (1939),3.8529411764705883,323
Another Woman (1988),3.673611111111111,216
Another Year (2010),3.655241935483871,248
Antichrist (2009),3.3996062992125986,762
Antitrust (2001),3.0496076233183858,1784
